Date,NIFTY_Return_1D,NIFTY_Return_5D,NIFTY_Return_20D,NIFTY_SMA50,NIFTY_RSI
2015-10-08,-0.005875926976951273,0.022701279111502437,0.07548159862825443,8100.054970703125,57.68923894910413
2015-10-09,0.00742372968703231,0.030034372951715405,0.06522293048645667,8097.108974609375,60.31262085356431
2015-10-12,-0.005629033610123568,0.002992904998374568,0.04156754354240788,8092.47998046875,57.38562344962059
2015-10-13,-0.0014612581906097155,-0.0026002658299724146,0.044118603169937876,8086.67798828125,56.62174610501636
2015-10-14,-0.002926853228365389,-0.00849903402426,0.04090227692411075,8078.178994140625,55.04358679931618
2015-10-15,0.008830905477206663,0.006168992815084762,0.03902950236590552,8070.907998046875,58.76689995809711
2015-10-16,0.007170412693318751,0.0059159913253272745,0.05224742152564943,8065.332998046875,61.57428418293124
2015-10-19,0.004479089639404021,0.016141473728441325,0.047587386869594184,8059.474990234375,63.26872019230742
2015-10-20,-0.0016192547934769097,0.01598069188377238,0.035048107806902706,8052.934990234375,62.19616940821813
2015-10-21,-0.001204383487806604,0.017735824899266728,0.034423549196396674,8046.677001953125,61.36426233985837
2015-10-23,0.005301937657024025,0.014175706988507786,0.06188558567748337,8042.074013671875,63.66550013538246
2015-10-26,-0.004207172582956553,0.002718985816038355,0.05284249823847964,8038.038017578125,60.5663636465197
2015-10-27,-0.0033471638954116756,-0.005093554124426358,0.04631129066848838,8035.707021484375,58.15125876259488
2015-10-28,-0.007494344931314734,-0.0109481993349827,0.04816757835630803,8032.014033203125,53.066073918994036
2015-10-29,-0.00727557689096936,-0.01696016481451912,0.03422669055083971,8023.878037109375,48.65143946356356
2015-10-30,-0.005664646384873739,-0.027683897222934073,0.014706425263863565,8015.648037109375,45.500685509229065
2015-11-02,-0.0018597039801661053,-0.02539177233469081,0.012564603198475854,8007.333037109375,44.48782748225488
2015-11-03,0.0012297400090901522,-0.02091610333444438,-0.007217323018564814,7998.644033203125,45.35249026291274
2015-11-04,-0.0025432033822472278,-0.01603191659349501,-0.013823266369166642,7991.993037109375,43.83012974711259
